movie_production_year,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name
2010,10100000,1183658,17542642,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2001,10350000,33201661,141000000,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2007,10500000,11052958,3087444,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2013,10600000,24084,237280,1/1/2013,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense
2002,10600000,22163442,12245764,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Horror
2006,10750000,3275443,29300000,1/1/2006,Contemporary Fiction,Original Screenplay,Live Action,Drama
2008,10800000,56746769,61463009,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Horror
2011,10800000,13182281,471690764,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2007,10800000,399879,2462665,1/1/2007,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2004,11000000,10214647,2786312,1/1/2004,Dramatization,Based on Real Life Events,Live Action,Drama
2014,11000000,50474843,28400000,1/1/2014,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2014,11000000,33307793,23450345,1/1/2014,Contemporary Fiction,Original Screenplay,Live Action,Drama
2010,11000000,93617009,35645379,1/1/2010,Dramatization,Based on Real Life Events,Live Action,Drama
2001,11000000,23978402,1137701,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2008,11000000,37770162,2213861,1/1/2008,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2004,11000000,3753806,9600049,1/1/2004,Historical Fiction,Original Screenplay,Live Action,Drama
2003,11000000,4068087,166268,1/1/2003,Dramatization,Based on Religious Text,Live Action,Drama
2011,11000000,18388357,37790578,1/1/2011,Contemporary Fiction,Based on Play,Live Action,Comedy
2003,11000000,46566212,51270926,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2002,11000000,41227069,4833846,1/1/2002,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2002,11000000,13110448,6836832,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2001,11000000,13906394,880000,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2008,11000000,90559416,183833464,1/1/2008,Contemporary Fiction,Based on TV,Live Action,Musical
2012,11000000,13248209,19695038,1/1/2012,Historical Fiction,Based on Factual Book/Article,Live Action,Drama
2007,11000000,551002,2680249,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2009,11000000,27693292,42059110,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Horror
2014,11000000,38273392,21979924,1/1/2014,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2006,11000000,72778712,12500000,1/1/2006,Factual,Based on TV,Live Action,Comedy
2003,11000000,3051221,21099329,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2007,11400000,15000,29815239,1/1/2007,Contemporary Fiction,Remake,Live Action,Comedy
2006,12000000,6860000,1846701,1/1/2006,Dramatization,Based on Fiction Book/Short Story,Live Action,Comedy
2005,12000000,1442337,17845147,1/1/2005,Science Fiction,Original Screenplay,Live Action,Drama
