"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"30",621111,"Buehler, Walker","2021-05-28","92","32.6","0.000","0.000","0.000","0.000","0.277","0.433","0.218","0","3","97.2","16.0","2742","92.2","92.53","0","12","18","0.3","6.41","102","149","119","153","299","317","296"
"28",608331,"Fried, Max","2021-05-12","89","31.5","0.250","0.250","0.500","0.500","0.438","0.466","0.233","1","4","102.9","28.5","2411","83.6","83.40","3","8","20","-0.2","6.21","100","148","116","148","303","322","283"
"26",608331,"Fried, Max","2021-09-12","89","29.2","0.500","0.333","0.500","0.833","0.554","0.414","0.390","3","6","78.5","-3.1","2315","86.4","86.55","1","13","13","0.1","6.38","107","148","112","150","305","323","292"
"25",621111,"Buehler, Walker","2021-06-24","103","24.3","0.250","0.750","0.000","1.000","0.540","0.314","0.114","1","4","98.7","43.3","2399","92.4","92.76","2","13","12","0.4","6.32","103","152","119","153","297","313","295"
"25",543135,"Eovaldi, Nathan","2021-07-06","104","24.0","0.500","0.250","0.667","0.750","0.589","0.466","0.360","2","4","77.7","0.3","2115","90.5","91.25","3","13","12","0.8","6.79","109","153","116","146","307","330","292"
"24",554430,"Wheeler, Zack","2021-05-29","101","23.8","0.250","0.000","0.500","0.250","0.377","0.415","0.291","1","4","72.5","-11.0","2351","92.0","93.51","2","9","15","1.5","7.31","107","150","118","150","299","333","298"
"23",543135,"Eovaldi, Nathan","2021-09-29","90","25.6","0.250","0.250","0.333","0.500","0.387","0.237","0.108","1","4","94.0","20.0","1979","88.4","89.05","4","9","14","0.7","6.92","114","154","110","152","299","337","280"
"23",554430,"Wheeler, Zack","2021-09-28","93","24.7","0.250","0.000","0.333","0.250","0.314","0.359","0.280","1","4","85.7","26.7","2307","93.8","95.65","2","13","10","1.9","7.39","107","147","115","143","291","319","297"
"22",592836,"Walker, Taijuan","2021-05-01","94","23.4","0.500","0.500","0.400","1.000","0.627","0.612","0.511","3","6","91.9","28.3","2160","87.2","86.41","5","15","7","-0.8","5.95","106","146","117","148","287","326","294"
"22",554430,"Wheeler, Zack","2021-05-23","98","22.4","0.250","0.000","0.333","0.250","0.314","0.260","0.164","1","4","93.1","-16.3","2322","94.5","96.09","3","13","9","1.6","7.20","112","152","121","151","294","326","289"
"22",621111,"Buehler, Walker","2021-09-17","95","23.2","0.500","0.167","0.500","0.667","0.500","0.325","0.320","3","6","93.0","27.0","2269","92.7","92.93","3","15","7","0.2","6.32","109","151","111","148","293","318","294"
"22",592836,"Walker, Taijuan","2021-04-08","87","25.3","0.500","0.167","0.600","0.667","0.500","0.261","0.259","3","6","90.3","-4.6","2074","92.2","91.44","2","12","10","-0.8","5.94","104","148","109","145","292","328","297"
