"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"28",425794,"Wainwright, Adam","2021-08-06","96","29.2","0.571","0.286","0.571","0.857","0.601","0.527","0.548","4","7","94.1","12.4","2408","84.0","84.11","1","12","16","0.1","6.38","107","155","123","148","294","319","299"
"21",425794,"Wainwright, Adam","2021-06-26","102","20.6","0.400","0.000","0.667","0.400","0.352","0.256","0.250","2","5","92.6","30.7","2545","82.3","82.51","3","12","9","0.2","6.45","121","154","111","148","291","308","296"
"17",425794,"Wainwright, Adam","2021-09-28","102","16.7","0.250","0.000","0.500","0.250","0.314","0.338","0.264","1","4","73.2","5.5","2405","85.2","85.68","2","7","10","0.5","6.59","117","159","119","148","303","332","303"
"17",425794,"Wainwright, Adam","2021-06-14","105","16.2","0.000","0.000","0.000","0.000","0.173","0.270","0.139","0","3","92.9","21.0","2634","80.8","80.74","4","8","9","-0.1","6.48","116","151","123","149","308","323","310"
"16",425794,"Wainwright, Adam","2021-09-03","105","15.2","0.000","0.000","0.000","0.000","0.231","0.289","0.090","0","2","67.4","-11.5","2220","84.3","84.62","0","6","10","0.3","6.43","111","154","121","145","297","303","282"
"15",425794,"Wainwright, Adam","2021-06-09","95","15.8","0.000","0.000","0.000","0.000","0.000","0.115","0.066","0","3","83.8","3.5","2424","80.9","81.33","0","6","9","0.4","6.58","125","165","120","151","295","312","299"
"15",425794,"Wainwright, Adam","2021-09-18","93","16.1","0.000","0.000","0.000","0.000","0.000","0.147","0.151","0","3","80.0","3.3","2579","81.9","82.09","1","8","7","0.2","6.51","119","158","110","148","299","327","303"
"14",425794,"Wainwright, Adam","2021-04-20","100","14.0","0.250","0.750","0.000","1.000","0.502","0.229","0.119","1","4","99.3","42.5","2177","83.7","84.17","2","7","7","0.5","6.63","114","165","116","148","301","321","310"
"14",425794,"Wainwright, Adam","2021-05-09","113","12.4","0.250","0.000","0.250","0.250","0.220","0.440","0.359","1","4","96.5","7.3","2486","79.7","79.46","0","6","8","-0.2","6.51","109","160","117","146","299","318","302"
"14",425794,"Wainwright, Adam","2021-07-27","87","16.1","0.000","0.000",,"0.000","0.231","0.231",,"0","2",,,"2485","79.9","79.96","3","4","10","0.1","6.40","113","166","119","149","297","325","296"
"14",425794,"Wainwright, Adam","2021-09-08","104","13.5","0.250","0.750","0.000","1.000","0.502","0.433","0.268","1","4","75.9","-14.0","2501","78.9","78.99","1","5","9","0.1","6.53","122","170","118","150","296","330","298"
"14",425794,"Wainwright, Adam","2021-09-13","103","13.6","0.000","0.000","0.000","0.000","0.000","0.081","0.065","0","4","84.6","7.5","2393","79.6","79.24","6","8","6","-0.4","6.43","114","157","122","148","301","332","304"
"13",425794,"Wainwright, Adam","2021-07-16","88","14.8","0.250","0.250","0.250","0.500","0.310","0.430","0.375","1","4","99.2","24.3","2225","81.6","81.90","3","8","5","0.3","6.55","127","165","115","151","297","323","295"
"13",425794,"Wainwright, Adam","2021-08-22","106","12.3","0.000","0.000","0.000","0.000","0.000","0.050","0.047","0","3","84.2","32.0","2508","79.0","79.07","1","7","6","0.1","6.35","123","171","120","150","297","322","299"
"13",425794,"Wainwright, Adam","2021-06-20","111","11.7","0.000","0.000",,"0.000","0.000","0.000",,"0","3",,,"2652","80.2","80.42","1","5","8","0.2","6.42","133","155","139","153","302","309","307"
"12",425794,"Wainwright, Adam","2021-04-26","107","11.2","0.000","0.000","0.000","0.000","0.000","0.064","0.064","0","3","55.3","-55.0","2505","82.9","83.29","1","4","8","0.4","6.59","129","163","115","153","293","315","310"
"12",425794,"Wainwright, Adam","2021-05-29","93","12.9","1.000","0.500","1.000","1.500","0.937","0.405","0.277","2","2","90.5","-3.5","2456","84.1","84.02","0","5","7","-0.1","6.50","117","152","110","150","303","323","306"
"12",425794,"Wainwright, Adam","2021-08-11","88","13.6","0.000","0.000","0.000","0.000","0.000","0.274","0.286","0","3","84.5","41.0","2415","83.1","83.15","0","4","8","0.1","6.39","129","165","102","153","296","315","295"
"12",425794,"Wainwright, Adam","2021-08-28","93","12.9","0.250","0.000","0.333","0.250","0.220","0.410","0.418","1","4","84.4","18.7","2396","80.3","80.43","2","9","3","0.1","6.28","128","169","127","150","297","311","291"
"11",425794,"Wainwright, Adam","2021-05-23","101","10.9","0.000","0.000","0.000","0.000","0.000","0.135","0.144","0","3","69.8","-37.0","2551","81.5","81.58","1","5","6","0.1","6.55","126","172","115","151","301","332","306"
"11",425794,"Wainwright, Adam","2021-08-01","85","12.9","0.250","0.750","0.000","1.000","0.502","0.347","0.207","1","4","97.8","15.7","2453","81.2","81.20","0","3","8","0.0","6.39","123","156","109","148","300","322","298"
"9",425794,"Wainwright, Adam","2021-05-03","93","9.7","0.333","0.000","0.333","0.333","0.293","0.302","0.267","1","3","94.6","22.7","2420","84.7","85.42","1","6","3","0.7","6.58","104","149","112","147","292","311","298"
"9",425794,"Wainwright, Adam","2021-07-21","84","10.7","0.250","0.250","0.250","0.500","0.310","0.108","0.101","1","4","76.2","3.3","2606","80.4","80.54","0","5","4","0.1","6.58","119","166","110","145","298","326","302"
"8",425794,"Wainwright, Adam","2021-07-01","110","7.3","0.000","0.000","0.000","0.000","0.000","0.061","0.044","0","3","80.3","11.0","2442","80.7","81.38","2","6","2","0.7","6.39","126","159","119","151","312","341","305"
"8",425794,"Wainwright, Adam","2021-08-17","97","8.2","0.000","0.000","0.000","0.000","0.000","0.042","0.046","0","3","68.4","-11.0","2233","83.2","83.38","2","4","4","0.2","6.41","125","159","115","149","296","302","287"
"5",425794,"Wainwright, Adam","2021-06-03","105","4.8","0.000","0.000","0.000","0.000","0.000","0.246","0.184","0","3","94.7","34.3","2632","81.3","81.08","0","3","2","-0.2","6.46","124","160","99","147","292","306","311"
