January,August_max,Slope,Elev,Precip,NC,NW,EC,WC,SE,SC,SW,Infested
-13.99,28.04,26.01375669,2752.0392,349.38,No,Yes,No,No,No,No,No,No
-13.13,27.61,28.78410929,2858.1096,409.2,No,Yes,No,No,No,No,No,No
-13.22,27.36,31.55489509,2955.036,566.26,No,Yes,No,No,No,No,No,Yes
-13.2,27.32,32.44496556,2693.2128,420.28,No,Yes,No,No,No,No,No,No
-13.54,27.28,31.32066429,2508.1992,411.9,No,Yes,No,No,No,No,No,Yes
-13.74,27.15,28.16812819,2262.2256,491.06,No,Yes,No,No,No,No,No,No
-14.11,27,27.12974128,2175.9672,529.93,No,Yes,No,No,No,No,No,Yes
-14.44,26.71,25.9258358,2926.9944,551.24,No,Yes,No,No,No,No,No,Yes
-14.88,26.15,25.69417942,3161.0808,576.02,No,Yes,No,No,No,No,No,Yes
-15.27,25.17,24.46848783,3174.1872,687.59,No,Yes,No,No,No,No,No,Yes
-15.46,24.68,25.32853181,3358.2864,680.39,No,Yes,No,No,No,No,No,Yes
-15.57,24.5,26.32455123,3244.2912,786.39,No,Yes,No,No,No,No,No,Yes
-15.42,24.71,26.63232269,2963.2656,705.43,No,Yes,No,No,No,No,No,Yes
-15.19,25.14,26.20593543,3113.2272,680.94,No,Yes,No,No,No,No,No,Yes
-15.19,25.12,26.23691538,3321.1008,724.05,No,Yes,No,No,No,No,No,Yes
-15.24,24.54,26.48434255,3168.0912,823.9,No,Yes,No,No,No,No,No,Yes
-15.38,23.67,26.17476178,2876.0928,953.37,No,Yes,No,No,No,No,No,Yes
-15.12,23.84,26.0055024,3006.2424,844.47,No,Yes,No,No,No,No,No,Yes
-14.9,24.66,25.70284618,2834.0304,613.16,Yes,No,No,No,No,No,No,Yes
-14.79,25.35,25.68914911,3107.1312,563.68,Yes,No,No,No,No,No,No,Yes
-14.61,25.84,25.96313363,2839.212,469.38,Yes,No,No,No,No,No,No,Yes
-14.53,25.94,26.02191764,2668.2192,385.1,Yes,No,No,No,No,No,No,Yes
-14.67,25.9,26.15539826,2623.1088,342.89,Yes,No,No,No,No,No,No,Yes
-15.01,25.7,26.47718365,2211.0192,323.24,Yes,No,No,No,No,No,No,Yes
-15.39,25.31,26.23599143,2249.1192,379.28,Yes,No,No,No,No,No,No,Yes
-15.43,24.68,25.49699159,2315.2608,498.04,Yes,No,No,No,No,No,No,Yes
-15.3,24.02,25.38362099,2154.0216,517.73,Yes,No,No,No,No,No,No,Yes
-15,23.45,25.74373441,2043.0744,512.94,Yes,No,No,No,No,No,No,Yes
-15.02,23.07,25.73492884,1954.0728,533.72,Yes,No,No,No,No,No,No,Yes
-14.97,23.07,25.93857381,2011.9848,444.76,Yes,No,No,No,No,No,No,Yes
-14.9,23.59,26.23382507,1972.056,431.39,Yes,No,No,No,No,No,No,Yes
-14.65,24.42,26.07121645,2054.0472,432.58,Yes,No,No,No,No,No,No,Yes
-14.21,25.33,25.86914406,2070.2016,308.74,Yes,No,No,No,No,No,No,Yes
-14.02,25.69,25.92285403,2385.06,305.28,Yes,No,No,No,No,No,No,No
-13.83,25.78,25.88402841,2696.2608,308.34,Yes,No,No,No,No,No,No,No
-13.79,26.01,25.69360431,3142.1832,290.74,Yes,No,No,No,No,No,No,No
-13.42,26.13,25.08854353,2949.2448,285.64,No,No,No,No,No,No,No,No
-13.11,26.13,24.51588848,2454.2496,277.89,No,No,No,No,No,No,No,No
-12.64,26.04,23.95557908,2175.0528,272.17,No,No,No,No,No,No,No,No
-12.43,25.8,23.56458585,2182.0632,273.95,No,No,No,No,No,No,No,No
-12.35,25.46,23.21302799,2031.1872,275.4,No,No,No,No,No,No,No,Yes
-12.28,24.98,23.05856668,2143.9632,287.36,No,No,No,No,No,No,No,Yes
-12.14,24.61,23.04743811,2633.1672,325.18,No,No,No,No,No,No,No,Yes
-11.96,24.55,22.97605475,2770.0224,321.12,No,No,No,No,No,No,No,No
-11.58,24.78,22.92164501,2534.1072,307.22,No,No,No,No,No,No,No,No
-11.26,24.82,22.95091989,2172.0048,302.05,No,No,No,No,No,No,No,No
